Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	90F	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	B9A	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	C4B	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	516	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	3E4	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	7F0	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	D8A	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	E77	Still			POINT	133.000	133.000	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	C4B	Active - Walking			POINT	147.322	147.322	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	C4B	Join cluster 1			POINT	172.748	172.748	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	C4B	ACU - Head first			POINT	174.150	174.150	NA		
Sask Beach Camera 2 July 28 M2U00654	2021-07-15 14:09:39		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00654.MPG	5171.570	29.97	E77	Allow ACU			POINT	204.080	204.080	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	90F	Still			POINT	228.000	228.000	NA		
